codeValue,description,namespace,shortDescription
High Speed,High Speed,uri://ed-fi.org/InternetAccessDescriptor,High Speed
Less Than High Speed,Less Than High Speed,uri://ed-fi.org/InternetAccessDescriptor,Less Than High Speed
None,None,uri://ed-fi.org/InternetAccessDescriptor,None
