codeValue,description,namespace,shortDescription
Elementary School,Elementary School,uri://ed-fi.org/SchoolCategoryDescriptor,Elementary School
High School,High School,uri://ed-fi.org/SchoolCategoryDescriptor,High School
Middle School,Middle School,uri://ed-fi.org/SchoolCategoryDescriptor,Middle School
Other Combination,Other Combination,uri://ed-fi.org/SchoolCategoryDescriptor,Other Combination
Infant/toddler School,Infant/toddler School,uri://ed-fi.org/SchoolCategoryDescriptor,Infant/toddler School
All Levels,All Levels,uri://ed-fi.org/SchoolCategoryDescriptor,All Levels
Ungraded,Ungraded,uri://ed-fi.org/SchoolCategoryDescriptor,Ungraded
