codeValue,description,namespace,shortDescription
College/University Charter,College/University Charter,uri://ed-fi.org/CharterStatusDescriptor,College/University Charter
Not a Charter School,Not a Charter School,uri://ed-fi.org/CharterStatusDescriptor,Not a Charter School
Open Enrollment,Open Enrollment,uri://ed-fi.org/CharterStatusDescriptor,Open Enrollment
School Charter,School Charter,uri://ed-fi.org/CharterStatusDescriptor,School Charter
