codeValue,description,namespace,shortDescription
Not A Title I School,Not A Title I School,uri://ed-fi.org/TitleIPartASchoolDesignationDescriptor,Not A Title I School
Title I Schoolwide School,Title I Schoolwide School,uri://ed-fi.org/TitleIPartASchoolDesignationDescriptor,Title I Schoolwide School
Missing,Missing,uri://ed-fi.org/TitleIPartASchoolDesignationDescriptor,Missing
Title I Targeted Assistance School,Title I Targeted Assistance School,uri://ed-fi.org/TitleIPartASchoolDesignationDescriptor,Title I Targeted Assistance School
Title I Targeted Assistance Eligible-No Program,Title I Targeted Assistance Eligible-No Program,uri://ed-fi.org/TitleIPartASchoolDesignationDescriptor,Title I Targeted Assistance Eligible-No Program
