codeValue,description,namespace,shortDescription
Student Enrollment,Student Enrollment,uri://tpdm.ed-fi.org/IndicatorGroupDescriptor,Student Enrollment
Student Programs,Student Programs,uri://tpdm.ed-fi.org/IndicatorGroupDescriptor,Student Programs
Student Demographics,Student Demographics,uri://tpdm.ed-fi.org/IndicatorGroupDescriptor,Student Demographics
Staff Employment0,Staff Employment,uri://tpdm.ed-fi.org/IndicatorGroupDescriptor,Staff Employment
Staff Demographics,Staff Demographics,uri://tpdm.ed-fi.org/IndicatorGroupDescriptor,Staff Demographics
