codeValue,description,namespace,shortDescription
Students Enrolled,Students Enrolled,uri://tpdm.ed-fi.org/IndicatorDescriptor,Students Enrolled
Students in Special Education,Students in Special Education,uri://tpdm.ed-fi.org/IndicatorDescriptor,Students in Special Education
Students Eligible for Free Reduced Price Lunches,Students Eligible for Free Reduced Price Lunches,uri://tpdm.ed-fi.org/IndicatorDescriptor,Students Eligible for Free Reduced Price Lunches
Students with Limited English Proficiency,Students with Limited English Proficiency,uri://tpdm.ed-fi.org/IndicatorDescriptor,Students with Limited English Proficiency
Teachers Employed,Teachers Employed,uri://tpdm.ed-fi.org/IndicatorDescriptor,Teachers Employed
