codeValue,description,namespace,shortDescription
All students participate,All students participate,uri://ed-fi.org/MagnetSpecialProgramEmphasisSchoolDescriptor,All students participate
No students participate,No students participate,uri://ed-fi.org/MagnetSpecialProgramEmphasisSchoolDescriptor,No students participate
"Some, but not all, students participate","Some, but not all, students participate",uri://ed-fi.org/MagnetSpecialProgramEmphasisSchoolDescriptor,"Some, but not all, students participate"
