codeValue,description,namespace,shortDescription
Average,Average,uri://tpdm.ed-fi.org/IndicatorLevelDescriptor,Average
Below Average,Below Average,uri://tpdm.ed-fi.org/IndicatorLevelDescriptor,Below Average
Excellent,Excellent,uri://tpdm.ed-fi.org/IndicatorLevelDescriptor,Excellent
Good,Good,uri://tpdm.ed-fi.org/IndicatorLevelDescriptor,Good
Unsatisfactory,Unsatisfactory,uri://tpdm.ed-fi.org/IndicatorLevelDescriptor,Unsatisfactory
