codeValue,description,namespace,shortDescription
Alternative,Alternative,uri://ed-fi.org/SchoolTypeDescriptor,Alternative
Career and Technical Education,Career and Technical Education,uri://ed-fi.org/SchoolTypeDescriptor,Career and Technical Education
Regular,Regular,uri://ed-fi.org/SchoolTypeDescriptor,Regular
Special Education,Special Education,uri://ed-fi.org/SchoolTypeDescriptor,Special Education
