assessmentIdentifier,assessmentTitle,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
PreACT,PreACT Composite,uri://act.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
STEM,STEM Composite,uri://act.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
